club_id,club_name,club_type,district,zone,country,state,city,latitude,longitude,charter_date,meeting_location,meeting_day,meeting_time,public_email,website,instagram,facebook,linkedin,youtube,description,last_updated
218548,Amreli,community,3060,4,India,Gujarat,Amreli,21.6032,71.2221,2020-10-06,,,,,,,,,,,2026-08-11
217188,Amreli Gir,community,3060,4,India,Gujarat,Amreli,21.6032,71.2221,2019-07-24,,Tues,09:30,,,,,,,,2026-08-11
212234,Anand Round Town,community,3060,4,India,Gujarat,Anand,22.5645,72.9289,2015-03-27,,Thurs,20:30,,,,,,,,2026-08-11
8823225,Ankleshwar,community,3060,4,India,Gujarat,Ankleshwar,21.6264,73.0152,2021-01-18,,,,,,,,,,,2026-08-11
215922,Bardoli,community,3060,4,India,Gujarat,Bardoli,21.1257,73.1125,2018-06-29,,,,,,,,,,,2026-08-11
5993,Bharuch,community,3060,4,India,Gujarat,Bharuch,21.7051,72.9959,1984-03-19,,Sat,19:30,,,,,,,,2026-08-11
8826458,Bharuch Next,community,3060,4,India,Gujarat,Bharuch,21.7051,72.9959,2024-06-04,,Thurs,20:00,,,,,,,,2026-08-11
89957,Bhavnagar Royal,community,3060,4,India,Gujarat,Bhavnagar,21.7645,72.1519,2012-02-23,,Thurs,21:00,,,,,,,,2026-08-11
43098,Bhavnagar (Youth),community,3060,4,India,Gujarat,Bhavnagar,21.7645,72.1519,1996-07-16,,Sat,19:00,,,,,,,,2026-08-11
8825032,Charusat University,university,3060,4,India,Gujarat,Anand,22.5645,72.9289,2022-06-28,,,,,,,,,,,2026-08-11
8827709,Daman,community,3060,4,India,Daman and Diu,Daman,20.3974,72.8328,2025-09-25,,Wed,19:30,,,,,,,,2026-08-11
214057,Dhule Cross Road,community,3060,4,India,Maharashtra,Dhule,20.9042,74.7749,2016-08-22,,Sat,20:00,,,,,,,,2026-08-11
5963,Dhulia,community,3060,4,India,Maharashtra,Dhule,20.9042,74.7749,1969-08-11,,Thurs,20:45,,,,,,,,2026-08-11
213392,GCET College,university,3060,4,India,Gujarat,Nadiad,22.6916,72.8634,2015-07-15,,Fri,17:30,,,,,,,,2026-08-11
8827875,Gujarat Institute of Hotel Management,university,3060,4,India,Gujarat,Vadodara,22.3072,73.1812,2025-11-21,,Sat,16:00,,,,,,,,2026-08-11
213281,Halvad,community,3060,4,India,Gujarat,Halvad,23.0067,71.1811,2016-02-11,,Sat,20:30,,,,,,,,2026-08-11
214370,Harijyot,university,3060,4,India,Gujarat,Navsari,20.9467,72.952,2016-12-13,,Sat,16:30,,,,,,,,2026-08-11
89948,Jamnagar,community,3060,4,India,Gujarat,Jamnagar,22.4707,70.0577,2012-02-15,,Sun,17:00,,,,,,,,2026-08-11
8825701,Jamnagar Hope,university,3060,4,India,Gujarat,Jamnagar,22.4707,70.0577,2023-05-22,,,,,,,,,,,2026-08-11
215372,Jamnagar Smile,university,3060,4,India,Gujarat,Jamnagar,22.4707,70.0577,2017-11-21,,Sat,17:00,,,,,,,,2026-08-11
214090,Junagadh,community,3060,4,India,Gujarat,Junagadh,21.5222,70.4579,2016-09-02,,Sat,21:45,,,,,,,,2026-08-11
8823936,Karnabhumi Metro,community,3060,4,India,Gujarat,Surat,21.1702,72.8311,2021-06-30,,Sat,21:00,,,,,,,,2026-08-11
212381,Mahemdabad,community,3060,4,India,Gujarat,Mahemdabad,22.8236,72.7552,2015-05-06,,Sat,20:30,,,,,,,,2026-08-11
8827446,Mahemdabad Femina,community,3060,4,India,Gujarat,Mahemdabad,22.8236,72.7552,2025-06-30,,Sun,21:00,,,,,,,,2026-08-11
8827341,Marwadi University,university,3060,4,India,Gujarat,Rajkot,22.3039,70.8022,2025-06-13,,Thurs,16:00,,,,,,,,2026-08-11
8828523,Nadiad Next,community,3060,4,India,Gujarat,Nadiad,22.6916,72.8634,2026-06-30,,Wed,20:00,,,,,,,,2026-08-11
217712,NANDNAGARI,community,3060,4,India,Maharashtra,Nandurbar,21.3655,74.2409,2020-01-02,,,,,,,,,,,2026-08-11
213467,Narmada Nagari  (Community Based),community,3060,4,India,Gujarat,Bharuch,21.7051,72.9959,2016-03-10,,Sat,18:00,,,,,,,,2026-08-11
